"question","response"
"Docker dev","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"Dockerfile.dev","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"x86 development","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"Scripts","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"install_pi.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"healthcheck.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"run_demo.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"calibrate.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"export_diagnostics.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"enable_kiosk.sh","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"Available scripts","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"Build guide","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"docs 02_build_guide","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"Step by step","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"Setup guide","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"Troubleshooting","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Troubleshooting doc","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"docs 07_troubleshooting","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Common problems","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Contributing","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"How to contribute","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"CONTRIBUTING","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"PR process","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"Code style","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"Report bug","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Bug report","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"GitHub issue","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Issue template","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Handbook","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"index.html","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"Project handbook","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"Single page reference","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"Technical docs","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"docs technical","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"Deep dives","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"Function documentation","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"What is RANSAC?","solve_homography uses OpenCV findHomography with RANSAC (robust fitting). RANSAC helps reject outlier points when solving the homography from four or more correspondences."
"Where is calibration.yaml.example?","configs/calibration.yaml.example shows the schema for calibration.yaml (homography, bounds, resolution). The real calibration.yaml is generated by the wizard and should not be committed."
